random_seed,dataset,ate_edit_f1,ote_edit_f1,aope_edit_f1,uabsa_edit_f1,aste_edit_f1
0,14lap,0.8683111320373901,0.8334012106051597,0.8576544612299472,0.7450084672215752,0.7217761935139356
0,14res,0.894107168565653,0.8852202589965716,0.886395839157717,0.8310979114060516,0.8327238075622632
0,15res,0.8675438063546691,0.8389408497968668,0.8600255268060215,0.7771500904050803,0.7739563426252432
0,16res,0.886577280650586,0.8952258277093593,0.8961210166096312,0.8183283526130379,0.8321088632870406
0,hotel_id_v2,0.9049501597910267,0.8888353268836945,0.8974584885708943,0.8881071673418474,0.8874716446992472
17,14lap,0.8770869782463621,0.8408319760713615,0.8640578209918954,0.7385066177700875,0.7395617422633027
17,14res,0.8938137581492965,0.8841534793695878,0.8921669551807284,0.840702704228951,0.8381709238787263
17,15res,0.8646335659277162,0.8387425931143341,0.8530486645279903,0.7704396918360411,0.7685937714733767
17,16res,0.8864617953996514,0.9068141766483678,0.8987990925963608,0.8220224283716244,0.8357078471499771
17,hotel_id_v2,0.902988819638831,0.8980416879263909,0.9000280121736597,0.8859609122294723,0.887511306620767
42,14lap,0.8835106302500111,0.8554515642133299,0.8619376153816452,0.7646498488866993,0.7465843262607809
42,14res,0.8967321356605168,0.8880444884041653,0.8877717736069962,0.8400022162783303,0.8261654102081735
42,15res,0.8794583416111658,0.86461007481662,0.8617809240884787,0.7803480196873276,0.7788331813953964
42,16res,0.8850702301729009,0.8936911527390694,0.8952501710393893,0.8138158225807811,0.8176605869231661
42,hotel_id_v2,0.9064111019450808,0.8958447750382375,0.9022309590641111,0.8894991507619096,0.8909774421198674
123,14lap,0.882284429193588,0.8433402499995841,0.8666743104879691,0.7586031122507506,0.7500382548087844
123,14res,0.8930662094938386,0.8863033537619874,0.8899446652287197,0.8299361341329151,0.8336453906952359
123,15res,0.8689512573545882,0.8472628951190894,0.860977567312866,0.7718794071994247,0.7696676896775567
123,16res,0.8943317795910202,0.895451077231216,0.8932254615655363,0.8221127627841525,0.8187479314463125
123,hotel_id_v2,0.9006442560320357,0.8937585105204927,0.9006133583228536,0.8861741901185937,0.8876345677398451
500,14lap,0.8735946399472679,0.8443675926053056,0.857701493190664,0.7499541402970867,0.7443296940463199
500,14res,0.8898465570046424,0.8905450662817875,0.8908927528781582,0.8378961459861222,0.8334279838986236
500,15res,0.8775851272671383,0.8377424541129832,0.8597339482472026,0.7903214675102834,0.7873108824409515
500,16res,0.8911471718883642,0.9040146601632687,0.8971523564040375,0.8186351012979214,0.823066011840552
500,hotel_id_v2,0.9064462222156383,0.896924171621259,0.9024483891720004,0.8894501829829273,0.8912706997878708
