random_seed,dataset,ate_edit_f1,ote_edit_f1,aope_edit_f1,uabsa_edit_f1,aste_edit_f1
0,14lap,0.8683111320373901,0.8349315408320849,0.8595929834966388,0.7450084672215752,0.7218991789826978
0,14res,0.894107168565653,0.8865120487114122,0.8871628253734611,0.8316576972226774,0.8332018326512494
0,15res,0.8697830787227112,0.8398306800714878,0.8611804185992317,0.7783640770953048,0.7752962035804875
0,16res,0.8858238736148845,0.8982728946686964,0.8974572094249945,0.8175705151470735,0.8332470548857149
0,hotel_id_v2,0.9045670290825513,0.8893287864120155,0.8979695832268,0.8878960644253785,0.8877679513683224
17,14lap,0.8770869782463621,0.8420909313364409,0.8660365486962314,0.7385066177700875,0.7399277333860673
17,14res,0.8946546466664378,0.8849409581406958,0.8929383982805436,0.8413741573528353,0.8389369645563892
17,15res,0.8650059816790443,0.8422585022199818,0.8540644031336794,0.7700111052197725,0.7690658693708242
17,16res,0.8864617953996514,0.908159115321315,0.8999252895367208,0.8220224283716244,0.8355437892009824
17,hotel_id_v2,0.9030027682797984,0.8987818437336403,0.9009770640451854,0.8862315820250491,0.8879509009563377
42,14lap,0.8835106302500111,0.8576719680563427,0.8625701684783718,0.7646498488866993,0.7464768119254682
42,14res,0.8979118960324367,0.8896276870943011,0.8888377815171375,0.8410776441633931,0.8271735514751192
42,15res,0.8814526319164678,0.8666214435167094,0.8643873298615311,0.7816237960297607,0.7803607072292169
42,16res,0.8835966311710683,0.8963644612583838,0.8961030989222529,0.812345709270209,0.8188190470511277
42,hotel_id_v2,0.9064258484898361,0.8964445781111814,0.9030432837188452,0.8894991507619096,0.8912574283357775
123,14lap,0.882284429193588,0.8472672440704742,0.8698603165706541,0.7586031122507506,0.7515510236749944
123,14res,0.893656902428858,0.887741992478902,0.8907108183140272,0.8305278672812288,0.8340642026832225
123,15res,0.8701303959680624,0.850674296255382,0.8636327940140304,0.7745983458795943,0.7708005487256221
123,16res,0.8951347920169542,0.8970003327163195,0.8940619679020748,0.8229132062912057,0.8197967028284188
123,hotel_id_v2,0.9008107238453761,0.8950274372457131,0.9014220901699285,0.8862183186204738,0.8883307656811464
500,14lap,0.8735946399472679,0.8492398238713998,0.8595304952288306,0.7499541402970867,0.745073888876758
500,14res,0.890477443407008,0.8928225405062681,0.8919533095503126,0.8385233645972012,0.8343075161162744
500,15res,0.8787549081312399,0.8396756915204389,0.8617448407782825,0.7916187092161137,0.7877155451494294
500,16res,0.8903929866958165,0.9065191101305865,0.897560032149073,0.8173066101565136,0.8230245714824939
500,hotel_id_v2,0.9064462222156383,0.8977589970401255,0.902645079957228,0.8893513772008602,0.8912952470470453
