random_seed,dataset,ate_f1,ote_f1,aope_f1,uabsa_f1,aste_f1
0,14lap,0.8241881298992162,0.7697516930022574,0.6917874396135265,0.7094594594594597,0.5947521865889214
0,14res,0.8546409807355517,0.8476744186046512,0.7624365482233502,0.7988269794721408,0.723425692695214
0,15res,0.8251428571428572,0.777656078860898,0.7075376884422111,0.7341772151898736,0.6402439024390244
0,16res,0.8525641025641025,0.8631138975966562,0.7796610169491525,0.7870967741935484,0.7284768211920529
0,hotel_id_v2,0.8680149015433742,0.8465581977471841,0.8095566276131404,0.8559366754617413,0.8052668052668053
17,14lap,0.8401323042998897,0.7899891186071818,0.7152317880794702,0.7034178610804851,0.6203615604186488
17,14res,0.8520919269298762,0.8457415128052413,0.7755308392315471,0.8044758539458187,0.7344461305007588
17,15res,0.8182857142857143,0.7825136612021857,0.6852589641434264,0.7205387205387205,0.6172106824925816
17,16res,0.851063829787234,0.8776371308016877,0.783349101229896,0.7906482465462273,0.7394167450611476
17,hotel_id_v2,0.8668978394238464,0.8626182180189149,0.8145771258308504,0.8539207972724889,0.8048668503213957
42,14lap,0.8481561822125813,0.806133625410734,0.7007575757575758,0.7363834422657951,0.6213408876298395
42,14res,0.8583042973286876,0.8494252873563217,0.7554671968190856,0.8065458796025716,0.703318474492323
42,15res,0.8429561200923787,0.8166849615806807,0.7085020242914981,0.7456846950517838,0.6484848484848486
42,16res,0.8500539374325783,0.8640167364016738,0.7862595419847329,0.7819548872180452,0.7232824427480915
42,hotel_id_v2,0.867107001321004,0.8550832711906537,0.8142857142857144,0.8546875,0.8072261605305282
123,14lap,0.843956043956044,0.7913043478260869,0.7038461538461539,0.7250821467688936,0.6224783861671469
123,14res,0.8507638072855465,0.8514386376981796,0.7583457897359241,0.7922307239552677,0.7212787212787213
123,15res,0.8228571428571428,0.7944325481798715,0.71356783919598,0.7308132875143184,0.6406406406406406
123,16res,0.8586723768736617,0.866043613707165,0.775813953488372,0.7918890074706509,0.7146866230121608
123,hotel_id_v2,0.8607190412782957,0.8542814221331998,0.8141674333026679,0.8489774514944939,0.8070256528772822
500,14lap,0.8349726775956283,0.7973421926910299,0.6986817325800377,0.7145969498910676,0.6228571428571429
500,14res,0.8482718219097832,0.8583042973286874,0.7670682730923696,0.8013977868375074,0.7241895261845388
500,15res,0.839002267573696,0.7839831401475237,0.7086614173228346,0.7559591373439274,0.6486486486486487
500,16res,0.8580645161290322,0.8768267223382046,0.7885167464114834,0.7875536480686696,0.7174119885823025
500,hotel_id_v2,0.8704,0.8559385073146542,0.8165707710011508,0.8566176470588236,0.810301218670959
