random_seed,dataset,ate_precision,ote_precision,aope_precision,uabsa_precision,aste_precision
0,14lap,0.8578088578088578,0.8374384236453202,0.7468354430379747,0.7429245283018868,0.6439232409381663
0,14res,0.8491879350348028,0.8385236447520185,0.7778936392075079,0.797423887587822,0.7342945417095778
0,15res,0.821917808219178,0.7941834451901566,0.7119675456389453,0.7350230414746544,0.6453608247422681
0,16res,0.8364779874213837,0.8565488565488566,0.7695167286245354,0.773784355179704,0.7223264540337712
0,hotel_id_v2,0.9219898247597512,0.9049919484702094,0.8596577017114915,0.9138028169014084,0.8616757560733763
17,14lap,0.8581081081081081,0.8167420814479638,0.7485029940119761,0.7184684684684685,0.6526104417670683
17,14res,0.8581644815256257,0.8580097087378641,0.7954070981210856,0.8076009501187649,0.7497393117831074
17,15res,0.817351598173516,0.7995495495495496,0.6888888888888889,0.7086092715231788,0.6195219123505976
17,16res,0.8298755186721992,0.8718487394957983,0.7811320754716982,0.7713097713097713,0.7359550561797753
17,hotel_id_v2,0.9237770193401593,0.9172413793103448,0.8660146699266503,0.905849582172702,0.8576337751595483
42,14lap,0.8555798687089715,0.8456221198156681,0.7318548387096774,0.7461368653421634,0.6498993963782697
42,14res,0.8471264367816091,0.831447963800905,0.7557557557557557,0.8056206088992974,0.6997026759167493
42,15res,0.8484848484848485,0.8393665158371041,0.7276507276507277,0.7465437788018433,0.6577868852459017
42,16res,0.8436830835117773,0.8604166666666667,0.7880539499036608,0.772823779193206,0.7277992277992278
42,hotel_id_v2,0.9136971046770601,0.9055907172995781,0.8683431952662722,0.8986856516976999,0.8529269472665699
123,14lap,0.8609865470852018,0.8231292517006803,0.7484536082474227,0.7371937639198218,0.6604938271604939
123,14res,0.8557919621749409,0.8495887191539365,0.7613293051359517,0.7992874109263658,0.7299492385786802
123,15res,0.8200455580865603,0.7939914163090128,0.7131313131313132,0.7299771167048055,0.6334661354581673
123,16res,0.842436974789916,0.8562628336755647,0.7540687160940326,0.7713097713097713,0.7022058823529411
123,hotel_id_v2,0.9150622876557192,0.9128563743948359,0.8696939782823297,0.8999444135630906,0.8659691081215745
500,14lap,0.8470066518847007,0.8470588235294118,0.7258382642998028,0.7218543046357616,0.6605691056910569
500,14res,0.844626168224299,0.8506944444444444,0.7743589743589744,0.7944572748267898,0.7253521126760564
500,15res,0.8314606741573034,0.7719665271966527,0.7043650793650794,0.7449664429530202,0.6538461538461539
500,16res,0.8435517970401691,0.8669438669438669,0.7895752895752896,0.7754237288135594,0.7140151515151515
500,hotel_id_v2,0.9256948383437322,0.904936974789916,0.8710629921259843,0.9091415830546266,0.8651574803149606
