random_seed,dataset,ate_recall,ote_recall,aope_recall,uabsa_recall,aste_recall
0,14lap,0.7948164146868251,0.725531914893617,0.6617375231053605,0.6803455723542117,0.5656192236598891
0,14res,0.8632075471698113,0.8627218934911243,0.755533199195171,0.8030660377358491,0.7223340040241448
0,15res,0.8356481481481481,0.7785087719298246,0.7257731958762886,0.7384259259259259,0.6494845360824743
0,16res,0.8827433628318584,0.8787234042553191,0.8054474708171206,0.8097345132743363,0.7490272373540856
0,hotel_id_v2,0.8208354302969301,0.7991493383742911,0.7690964644260149,0.8057625434674615,0.7608031427324312
17,14lap,0.8228941684665226,0.7723404255319148,0.6987060998151571,0.6889848812095032,0.6025878003696857
17,14res,0.8525943396226415,0.8402366863905325,0.7716297786720322,0.8054245283018868,0.7303822937625755
17,15res,0.8287037037037037,0.7850877192982456,0.709278350515464,0.7430555555555556,0.643298969072165
17,16res,0.8849557522123894,0.8851063829787233,0.8054474708171206,0.8230088495575221,0.7645914396887159
17,hotel_id_v2,0.8178158027176649,0.8189981096408318,0.7756438236577914,0.8087431693989071,0.7651680488869489
42,14lap,0.8444924406047516,0.7829787234042553,0.6839186691312384,0.7300215982721382,0.6081330868761553
42,14res,0.8714622641509434,0.8745562130177514,0.7645875251509054,0.8136792452830188,0.7142857142857143
42,15res,0.8449074074074074,0.8157894736842105,0.7216494845360825,0.75,0.6618556701030928
42,16res,0.8716814159292036,0.8787234042553191,0.8015564202334631,0.8053097345132744,0.7373540856031129
42,hotel_id_v2,0.8258681429290388,0.8128544423440454,0.7712789175032737,0.8152011922503726,0.7704059362723702
123,14lap,0.8293736501079914,0.774468085106383,0.6765249537892791,0.714902807775378,0.5988909426987061
123,14res,0.8537735849056604,0.8579881656804734,0.7655935613682092,0.7936320754716981,0.7263581488933601
123,15res,0.8333333333333334,0.8135964912280702,0.7319587628865979,0.7384259259259259,0.6597938144329897
123,16res,0.8871681415929203,0.8872340425531915,0.811284046692607,0.8207964601769911,0.7431906614785992
123,hotel_id_v2,0.813286361348767,0.8062381852551985,0.772588389349629,0.8042722305017387,0.7621126145787865
500,14lap,0.8250539956803455,0.7659574468085106,0.6857670979667283,0.7084233261339092,0.6044362292051756
500,14res,0.8537735849056604,0.8745562130177514,0.7686116700201208,0.8113207547169812,0.7303822937625755
500,15res,0.8564814814814815,0.8157894736842105,0.7422680412371134,0.7708333333333334,0.668041237113402
500,16res,0.8827433628318584,0.8936170212765957,0.8015564202334631,0.8119469026548672,0.7334630350194552
500,hotel_id_v2,0.8213387015601409,0.8156899810964083,0.7743343518114361,0.8102334823646299,0.7690964644260149
