random_seed,dataset,ate_precision,ote_precision,aope_precision,uabsa_precision,aste_precision
0,14lap,0.8558139534883721,0.8197115384615384,0.7246963562753036,0.7411764705882353,0.6270491803278688
0,14res,0.846242774566474,0.8331428571428572,0.7694672131147541,0.79463243873979,0.7245206861755802
0,15res,0.8148984198645598,0.7768052516411379,0.6901960784313725,0.7299771167048055,0.6312625250501002
0,16res,0.8243801652892562,0.8480492813141683,0.7554744525547445,0.7656903765690377,0.7090239410681399
0,hotel_id_v2,0.9209486166007905,0.8999467802022353,0.8545101842870999,0.9127743387732132,0.8552502453385672
17,14lap,0.8581081081081081,0.8084632516703786,0.7325581395348837,0.7184684684684685,0.6392156862745098
17,14res,0.8515901060070671,0.8513189448441247,0.7794715447154471,0.8035294117647059,0.7385554425228891
17,15res,0.8081264108352144,0.7799564270152506,0.6628131021194605,0.6993464052287581,0.5931558935361216
17,16res,0.819672131147541,0.8702928870292888,0.7624309392265194,0.7607361963190185,0.7158469945355191
17,hotel_id_v2,0.9222474460839954,0.9111461619348055,0.8576254826254827,0.9044444444444445,0.848910411622276
42,14lap,0.8518518518518519,0.8306997742663657,0.7184466019417476,0.7428571428571429,0.6351351351351351
42,14res,0.8455377574370709,0.8256983240223463,0.7465618860510805,0.7995365005793743,0.6926829268292682
42,15res,0.8410138248847926,0.8175824175824176,0.6958250497017893,0.7414187643020596,0.6356435643564357
42,16res,0.8294736842105264,0.8497942386831275,0.7715355805243446,0.7599164926931107,0.7097378277153558
42,hotel_id_v2,0.9126807563959956,0.9019402202412166,0.862371888726208,0.8981937602627258,0.8477425552353506
123,14lap,0.8590604026845637,0.8088888888888889,0.7334669338677354,0.7355555555555555,0.648
123,14res,0.8477751756440282,0.844988344988345,0.7512339585389931,0.790834312573443,0.7162698412698413
123,15res,0.8126410835214447,0.7761506276150628,0.696078431372549,0.7233560090702947,0.622568093385214
123,16res,0.8319502074688797,0.845841784989858,0.7433155080213903,0.7649484536082474,0.6882882882882883
123,hotel_id_v2,0.9140271493212669,0.9084132055378061,0.8604764219737482,0.8989450305385897,0.8575638506876228
500,14lap,0.8451327433628318,0.8314087759815243,0.7120921305182342,0.7208791208791209,0.6424361493123772
500,14res,0.8428405122235157,0.8426453819840365,0.7655310621242485,0.7917146144994246,0.7181008902077152
500,15res,0.8222222222222222,0.7545638945233266,0.6779661016949152,0.7416481069042317,0.6303501945525292
500,16res,0.8347280334728033,0.860655737704918,0.775894538606403,0.7645833333333333,0.702048417132216
500,hotel_id_v2,0.9256948383437322,0.9003651538862807,0.8636806231742941,0.9086350974930362,0.8561710398445093
